9/20/2024 21:11:31 | INFO | SRCClient | Loading v0.0.3
9/20/2024 21:11:33 | ERROR | F | NaN
9/20/2024 21:11:36 | DEBUG | Profile.Load | Profile: "Local Blue" Successfully Copied
9/20/2024 21:11:38 | DEBUG | Profile.Load | Profile: "Local Blue Copy" Successfully Copied
9/20/2024 21:11:39 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy" Successfully Copied
9/20/2024 21:11:40 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy" Successfully Copied
9/20/2024 21:11:41 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy Copy" Successfully Copied
9/20/2024 21:11:41 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy Copy Copy" Successfully Copied
9/20/2024 21:11:44 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy Copy Copy Copy" Successfully Deleted
9/20/2024 21:11:45 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy Copy Copy" Successfully Deleted
9/20/2024 21:11:46 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy Copy" Successfully Deleted
9/20/2024 21:11:47 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy Copy" Successfully Deleted
9/20/2024 21:11:49 | DEBUG | Profile.Load | Profile: "Local Blue Copy Copy" Successfully Deleted
9/20/2024 21:11:50 | DEBUG | Profile.Load | Profile: "Local Blue Copy" Successfully Deleted
9/20/2024 21:12:15 | DEBUG | Profile.Load | Profile: "Local Blue" Successfully Copied
