9/16/2024 1:47:38 | DEBUG | SRCClient | Loading v0.0.3
9/16/2024 1:47:42 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Loaded
9/16/2024 1:47:45 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Saved
9/16/2024 1:47:47 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Saved
9/16/2024 1:47:53 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Copied
9/16/2024 1:47:55 | DEBUG | Profile.Load | Profile: "Test Profile Copy" Successfully Loaded
9/16/2024 1:47:58 | DEBUG | Profile.Load | Profile: "Test Profile Copy" Successfully Saved
9/16/2024 1:48:00 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Loaded
9/16/2024 1:48:01 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Saved
9/16/2024 1:48:04 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Saved
9/16/2024 1:48:06 | DEBUG | Profile.Load | Profile: "Test Profile Copy" Successfully Loaded
9/16/2024 1:48:11 | DEBUG | LoadProfileWindow.RenameButtonClick | TextBlock found. Converting to TextBox.
9/16/2024 1:48:14 | DEBUG | Profile.Load | Profile: "Test Profile" Successfully Renamed To: "Old Profile"
9/16/2024 1:48:19 | DEBUG | Profile.Load | Profile: "Test Profile Copy" Successfully Copied
9/16/2024 1:48:21 | DEBUG | Profile.Load | Profile: "Test Profile Copy Copy" Successfully Deleted
9/16/2024 1:48:22 | DEBUG | LoadProfileWindow.RenameButtonClick | TextBlock found. Converting to TextBox.
9/16/2024 1:48:25 | DEBUG | Profile.Load | Profile: "Test Profile Copy" Successfully Renamed To: "New Profile"
9/16/2024 1:48:26 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:48:28 | DEBUG | Profile.Load | Profile: "Old Profile" Successfully Loaded
9/16/2024 1:48:30 | DEBUG | Profile.Load | Profile: "Old Profile" Successfully Saved
9/16/2024 1:48:36 | DEBUG | Profile.Load | Profile: "Old Profile" Successfully Deleted
9/16/2024 1:48:37 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Copied
9/16/2024 1:48:37 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:48:41 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Copied
9/16/2024 1:48:41 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Loaded
9/16/2024 1:48:44 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy" Successfully Copied
9/16/2024 1:48:45 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy Copy" Successfully Copied
9/16/2024 1:48:46 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy" Successfully Copied
9/16/2024 1:48:46 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy" Successfully Loaded
9/16/2024 1:48:50 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Copied
9/16/2024 1:48:50 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:49:23 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Copied
9/16/2024 1:49:24 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Copied
9/16/2024 1:49:26 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy Copy Copy" Successfully Deleted
